ticker,industry,market_cap,revenue_cagr,net_profit_margin_avg
ASIANPAINT.NS,Specialty Chemicals,2188609323008.0,0.05306375234730143,0.12173876540537483
ASIANTILES.NS,Building Products & Equipment,6864060416.0,0.0582711041499806,0.012129906065892426
ASKAUTOLTD.NS,Auto Parts,87521640448.0,0.2447319093200715,0.05452563461242885
ASMS.NS,Information Technology Services,5253953024.0,-0.08349709188178633,0.1448671276194449
ASPINWALL.NS,Farm Products,2182084864.0,0.05124959009389296,0.0549497660190087
ASTEC.NS,Agricultural Inputs,13560290304.0,-0.17398705628695355,-0.07057792591011268
ASTERDM.NS,Medical Care Facilities,296495611904.0,-0.24680735941003706,0.06202016777380063
ASTRAL.NS,Building Products & Equipment,361072033792.0,0.21094221253872347,0.10592422316995101
ASTRAMICRO.NS,Communication Equipment,87206985728.0,0.12443959452433795,0.07868621546264767
ASTRAZEN.NS,Drug Manufacturers - Specialty & Generic,200912502784.0,0.17015952969709347,0.10387954422401943
ASTRON.NS,Paper & Paper Products,800264960.0,-0.10516136234553419,-0.014258948813993005
ATALREAL.NS,Engineering & Construction,1653013376.0,-0.02107388530825527,0.05129027985631293
ATAM.NS,Specialty Industrial Machinery,1184698112.0,0.4211149667860161,0.09568698456054736
ATGL.NS,Utilities - Regulated Gas,721530388480.0,0.18541854859875473,0.1438428444054054
ATLANTAA.NS,Infrastructure Operations,3145899776.0,0.15640280122125794,0.08796726873685201
ATLASCYCLE.NS,Leisure,582271104.0,-0.2876618419583534,-5.976095439777238
ATUL.NS,Specialty Chemicals,200130641920.0,0.03579742118045215,0.09277383866545873
ATULAUTO.NS,Auto Manufacturers,13664740352.0,0.1811922649991924,-0.020538332434656817
AUBANK.NS,Banks - Regional,520931147776.0,0.3557844889895938,0.23811367344805956
AURIONPRO.NS,Software - Infrastructure,74693885952.0,0.32432523224638454,0.15128171504094484
AUROPHARMA.NS,Drug Manufacturers - Specialty & Generic,710785433600.0,0.05338230203096472,0.12985097281233354
AURUM.NS,Real Estate Services,10869544960.0,1.5565414360281338,-0.33035529548639564
AUSOMENT.NS,Capital Markets,1172992000.0,0.2849210556772299,0.06469573298420418
AUTOAXLES.NS,Auto Parts,25983813632.0,0.35131591774263127,0.05627246955884406
AUTOIND.NS,Auto Parts,3585716992.0,0.318197158053793,-0.025046555880275535
AVADHSUGAR.NS,Confectioners,11351433216.0,0.004324367638609328,0.03966357296768326
AVALON.NS,Electronic Components,56774504448.0,0.09372408166233837,0.0567379859029523
AVANTEL.NS,Communication Equipment,30178068480.0,0.4240854023992211,0.1943124287145918
AVANTIFEED.NS,Packaged Foods,118043541504.0,0.09278261954632572,0.06387825751399089
